"trabajo_citado","doi_citado","anio_citado","articulo_citante","anio_citante","doi_citante","clasificacion"
"The root endophytic bacterial community of Ricinus communis L. resembles the seeds community more than the rhizosphere bacteria independent of soil water content","https://doi.org/10.1038/s41598-021-81551-7",2021,"Peer Review #3 of ""Response of bacterial community structure to different ecological niches and their functions in Korean pine forests (v0.1)""",2022,"https://doi.org/10.7287/peerj.12978v0.1/reviews/3","A y B (independiente)"
"The root endophytic bacterial community of Ricinus communis L. resembles the seeds community more than the rhizosphere bacteria independent of soil water content","https://doi.org/10.1038/s41598-021-81551-7",2021,"Peer Review #1 of ""Response of bacterial community structure to different ecological niches and their functions in Korean pine forests (v0.1)""",2022,"https://doi.org/10.7287/peerj.12978v0.1/reviews/1","A y B (independiente)"
"The root endophytic bacterial community of Ricinus communis L. resembles the seeds community more than the rhizosphere bacteria independent of soil water content","https://doi.org/10.1038/s41598-021-81551-7",2021,"Rhizosphere bacterial colonization of beet occurs in discrete phases regardless of bioinoculation with the wild sea beet root community",2023,"https://doi.org/10.1101/2023.02.10.527839","A y B (independiente)"
"The root endophytic bacterial community of Ricinus communis L. resembles the seeds community more than the rhizosphere bacteria independent of soil water content","https://doi.org/10.1038/s41598-021-81551-7",2021,"Colonization of beet by rhizosphere bacteria takes place in discreet phases regardless of bioinculation with wild sea beet root community",2024,"https://doi.org/10.21203/rs.3.rs-3991116/v1","A y B (independiente)"
"The root endophytic bacterial community of Ricinus communis L. resembles the seeds community more than the rhizosphere bacteria independent of soil water content","https://doi.org/10.1038/s41598-021-81551-7",2021,"Soil Characteristics Determine the Effect of Compost or Sterile Compost on Wheat ( Triticum aestivum L.) Development",2025,"https://doi.org/10.1080/1065657x.2025.2538568","B (coautor, no autor evaluado)"
"The root endophytic bacterial community of Ricinus communis L. resembles the seeds community more than the rhizosphere bacteria independent of soil water content","https://doi.org/10.1038/s41598-021-81551-7",2021,"Application of glyphosate or paraquat before the emergence of maize plants (Zea mays L.) had no detectable effect on the rhizosphere or endophyte bacterial community structure under the tested field conditions",2026,"https://doi.org/10.3389/fmicb.2026.1892064","B (coautor, no autor evaluado)"
"Conversion of a High-Altitude Temperate Forest for Agriculture Reduced Alpha and Beta Diversity of the Soil Fungal Communities as Revealed by a Metabarcoding Analysis","https://doi.org/10.3389/fmicb.2021.667566",2021,"Applications of environmental DNA (eDNA) to detect subterranean and aquatic invasive species: A critical review on the challenges and limitations of eDNA metabarcoding",2023,"https://doi.org/10.1016/j.envadv.2023.100370","A y B (independiente)"
"Conversion of a High-Altitude Temperate Forest for Agriculture Reduced Alpha and Beta Diversity of the Soil Fungal Communities as Revealed by a Metabarcoding Analysis","https://doi.org/10.3389/fmicb.2021.667566",2021,"Agricultural intensification weakens the soil health index and stability of microbial networks",2022,"https://doi.org/10.1016/j.agee.2022.108118","A y B (independiente)"
"Conversion of a High-Altitude Temperate Forest for Agriculture Reduced Alpha and Beta Diversity of the Soil Fungal Communities as Revealed by a Metabarcoding Analysis","https://doi.org/10.3389/fmicb.2021.667566",2021,"Applications of environmental DNA (eDNA) in agricultural systems: Current uses, limitations and future prospects",2022,"https://doi.org/10.1016/j.scitotenv.2022.157556","A y B (independiente)"
"Conversion of a High-Altitude Temperate Forest for Agriculture Reduced Alpha and Beta Diversity of the Soil Fungal Communities as Revealed by a Metabarcoding Analysis","https://doi.org/10.3389/fmicb.2021.667566",2021,"Mixed sowing improves plant and soil bacterial community restoration in the degraded alpine meadow",2024,"https://doi.org/10.1007/s11104-024-06482-4","A y B (independiente)"
"Conversion of a High-Altitude Temperate Forest for Agriculture Reduced Alpha and Beta Diversity of the Soil Fungal Communities as Revealed by a Metabarcoding Analysis","https://doi.org/10.3389/fmicb.2021.667566",2021,"Microbial, holobiont, and Tree of Life eDNA/eRNA for enhanced ecological assessment",2024,"https://doi.org/10.1016/j.tim.2024.07.003","A y B (independiente)"
"Conversion of a High-Altitude Temperate Forest for Agriculture Reduced Alpha and Beta Diversity of the Soil Fungal Communities as Revealed by a Metabarcoding Analysis","https://doi.org/10.3389/fmicb.2021.667566",2021,"Response of soil microbial community diversity to continuous cucumber cropping in facilities along the Yellow River irrigation area",2023,"https://doi.org/10.1371/journal.pone.0289772","A y B (independiente)"
"Conversion of a High-Altitude Temperate Forest for Agriculture Reduced Alpha and Beta Diversity of the Soil Fungal Communities as Revealed by a Metabarcoding Analysis","https://doi.org/10.3389/fmicb.2021.667566",2021,"Biochars modify the degradation pathways of dewatered sludge by regulating active microorganisms during gut digestion of earthworms",2022,"https://doi.org/10.1016/j.scitotenv.2022.154496","A y B (independiente)"
"Conversion of a High-Altitude Temperate Forest for Agriculture Reduced Alpha and Beta Diversity of the Soil Fungal Communities as Revealed by a Metabarcoding Analysis","https://doi.org/10.3389/fmicb.2021.667566",2021,"Legacy of land-cover changes on soil microbiology in Burgundy vineyards (Pernand-Vergelesses, France)",2022,"https://doi.org/10.20870/oeno-one.2022.56.2.5432","A y B (independiente)"
"Conversion of a High-Altitude Temperate Forest for Agriculture Reduced Alpha and Beta Diversity of the Soil Fungal Communities as Revealed by a Metabarcoding Analysis","https://doi.org/10.3389/fmicb.2021.667566",2021,"Establishing Artificial Grassland on Extremely Degraded Alpine Meadow Changes the Soil Fungal Community and Function in the Qilian Mountain Area",2025,"https://doi.org/10.1002/ldr.5402","A y B (independiente)"
"Conversion of a High-Altitude Temperate Forest for Agriculture Reduced Alpha and Beta Diversity of the Soil Fungal Communities as Revealed by a Metabarcoding Analysis","https://doi.org/10.3389/fmicb.2021.667566",2021,"Response of the Soil Fungal Community and Its Function during the Conversion of Forestland to Tea Plantations: A Case Study in Southeast China",2023,"https://doi.org/10.3390/f14020209","A y B (independiente)"
"Conversion of a High-Altitude Temperate Forest for Agriculture Reduced Alpha and Beta Diversity of the Soil Fungal Communities as Revealed by a Metabarcoding Analysis","https://doi.org/10.3389/fmicb.2021.667566",2021,"Shifts in Fungal Communities and Potential Functions Under Masson Pine Forest-to-Tea Plantation Conversion in Subtropical China",2025,"https://doi.org/10.3390/microorganisms13071614","A y B (independiente)"
"Conversion of a High-Altitude Temperate Forest for Agriculture Reduced Alpha and Beta Diversity of the Soil Fungal Communities as Revealed by a Metabarcoding Analysis","https://doi.org/10.3389/fmicb.2021.667566",2021,"Biodiversity between volcanoes: A multi-taxa analysis to identify priority conservation areas in a highly fragmented landscape of the Trans-Mexican Volcanic Belt",2025,"https://doi.org/10.1016/j.jnc.2025.126852","B (coautor, no autor evaluado)"
"Conversion of a High-Altitude Temperate Forest for Agriculture Reduced Alpha and Beta Diversity of the Soil Fungal Communities as Revealed by a Metabarcoding Analysis","https://doi.org/10.3389/fmicb.2021.667566",2021,"Synchronized nutrition fertilizer improves soil microbial diversity and sugarcane yield through agrochemical and enzymatic regulation",2025,"https://doi.org/10.3389/fpls.2025.1694590","A y B (independiente)"
"Conversion of a High-Altitude Temperate Forest for Agriculture Reduced Alpha and Beta Diversity of the Soil Fungal Communities as Revealed by a Metabarcoding Analysis","https://doi.org/10.3389/fmicb.2021.667566",2021,"Exploring Organic Matter, Soil Enzymes, and Fungal Communities Under Land-Use Intensification in the Argentine Pampas",2025,"https://doi.org/10.3390/agronomy15112469","A y B (independiente)"
"Conversion of a High-Altitude Temperate Forest for Agriculture Reduced Alpha and Beta Diversity of the Soil Fungal Communities as Revealed by a Metabarcoding Analysis","https://doi.org/10.3389/fmicb.2021.667566",2021,"Checklist of Basidiomycota and New Records from the Azores Archipelago",2024,"https://doi.org/10.3390/d16030170","A y B (independiente)"
"Conversion of a High-Altitude Temperate Forest for Agriculture Reduced Alpha and Beta Diversity of the Soil Fungal Communities as Revealed by a Metabarcoding Analysis","https://doi.org/10.3389/fmicb.2021.667566",2021,"Elevated Altitude and Limestone Soil Promoted Fungal Diversity in Rhizosphere Soil of Sophora japonica",2024,"https://doi.org/10.3390/horticulturae10050441","A y B (independiente)"
"Conversion of a High-Altitude Temperate Forest for Agriculture Reduced Alpha and Beta Diversity of the Soil Fungal Communities as Revealed by a Metabarcoding Analysis","https://doi.org/10.3389/fmicb.2021.667566",2021,"Environmental DNA as a tool for ecosystem monitoring and conservation biology",2026,"https://doi.org/10.3389/fmars.2026.1672904","A y B (independiente)"
"Conversion of a High-Altitude Temperate Forest for Agriculture Reduced Alpha and Beta Diversity of the Soil Fungal Communities as Revealed by a Metabarcoding Analysis","https://doi.org/10.3389/fmicb.2021.667566",2021,"“Reflexions on the role, diversity, conservation and management of the genetic microbial resources in Agriculture”",2025,"https://doi.org/10.1016/j.crmicr.2025.100365","A y B (independiente)"
"Conversion of a High-Altitude Temperate Forest for Agriculture Reduced Alpha and Beta Diversity of the Soil Fungal Communities as Revealed by a Metabarcoding Analysis","https://doi.org/10.3389/fmicb.2021.667566",2021,"Soil Fungal Communities Across Contrasting Land-Use Systems in an Intensively Managed Cerrado Landscape",2026,"https://doi.org/10.3390/jof12050346","A y B (independiente)"
"Conversion of a High-Altitude Temperate Forest for Agriculture Reduced Alpha and Beta Diversity of the Soil Fungal Communities as Revealed by a Metabarcoding Analysis","https://doi.org/10.3389/fmicb.2021.667566",2021,"Soil properties and microbial evolution during cropping system conversion: Insights from a 105-year study in southern China",2024,"https://doi.org/10.1016/j.indcrop.2024.119802","A y B (independiente)"
"Conversion of a High-Altitude Temperate Forest for Agriculture Reduced Alpha and Beta Diversity of the Soil Fungal Communities as Revealed by a Metabarcoding Analysis","https://doi.org/10.3389/fmicb.2021.667566",2021,"No‐Tillage Reseeding Enhances the Restoration of Degraded Alpine Meadows by Regulating Plant Soil and Bacterial Communities",2025,"https://doi.org/10.1002/ldr.70368","A y B (independiente)"
"Conversion of a High-Altitude Temperate Forest for Agriculture Reduced Alpha and Beta Diversity of the Soil Fungal Communities as Revealed by a Metabarcoding Analysis","https://doi.org/10.3389/fmicb.2021.667566",2021,"Novel soil health assessment framework and microbial community characterization for paddy field by interpretable machine learning",2026,"https://doi.org/10.1016/j.apsoil.2026.107022","A y B (independiente)"
"Conversion of a High-Altitude Temperate Forest for Agriculture Reduced Alpha and Beta Diversity of the Soil Fungal Communities as Revealed by a Metabarcoding Analysis","https://doi.org/10.3389/fmicb.2021.667566",2021,"Land-use intensity overrides grazing and precipitation effects on soil microbial communities in a subtropical agroecosystem",2026,"https://doi.org/10.64898/2026.04.30.721763","A y B (independiente)"
"Conversion of a High-Altitude Temperate Forest for Agriculture Reduced Alpha and Beta Diversity of the Soil Fungal Communities as Revealed by a Metabarcoding Analysis","https://doi.org/10.3389/fmicb.2021.667566",2021,"Conventional and advanced biodiversity assessment techniques with special emphasis on environmental DNA",2026,"https://doi.org/10.1016/b978-0-443-34222-6.00001-2","A y B (independiente)"
"Comparative analysis of two nonlethal methods for the study of the gut bacterial communities in wild lizards","https://doi.org/10.1111/1749-4877.12711",2023,"Hologenomic data generation and analysis in wild vertebrates",2024,"https://doi.org/10.1111/2041-210x.14456","A y B (independiente)"
"Comparative analysis of two nonlethal methods for the study of the gut bacterial communities in wild lizards","https://doi.org/10.1111/1749-4877.12711",2023,"Seasonal dietary changes relate to gut microbiota composition depending on the host species but do not correlate with gut microbiota diversity in arthropod‐eating lizards",2024,"https://doi.org/10.1111/mec.17426","B (coautor, no autor evaluado)"
"Comparative analysis of two nonlethal methods for the study of the gut bacterial communities in wild lizards","https://doi.org/10.1111/1749-4877.12711",2023,"Maternal transmission of bacterial microbiota during embryonic development in a viviparous lizard",2023,"https://doi.org/10.1128/spectrum.01780-23","B (coautor, no autor evaluado)"
"Comparative analysis of two nonlethal methods for the study of the gut bacterial communities in wild lizards","https://doi.org/10.1111/1749-4877.12711",2023,"Robust, Open‐Source and Automation‐Friendly DNA Extraction Protocol for Hologenomic Research",2025,"https://doi.org/10.1111/1755-0998.70042","A y B (independiente)"
"Comparative analysis of two nonlethal methods for the study of the gut bacterial communities in wild lizards","https://doi.org/10.1111/1749-4877.12711",2023,"DNA metabarcoding reveals seasonal changes in diet composition across four arthropod‐eating lizard species (Phrynosomatidae: Sceloporus)",2023,"https://doi.org/10.1111/1749-4877.12755","B (coautor, no autor evaluado)"
"Comparative analysis of two nonlethal methods for the study of the gut bacterial communities in wild lizards","https://doi.org/10.1111/1749-4877.12711",2023,"The Earth Hologenome Initiative: Data Release 1",2025,"https://doi.org/10.1093/gigascience/giaf102","A y B (independiente)"
"Comparative analysis of two nonlethal methods for the study of the gut bacterial communities in wild lizards","https://doi.org/10.1111/1749-4877.12711",2023,"Limited gut bacterial response of tuatara (Sphenodon punctatus) to dietary manipulation and captivity",2024,"https://doi.org/10.1093/femsec/fiae141","A y B (independiente)"
"Comparative analysis of two nonlethal methods for the study of the gut bacterial communities in wild lizards","https://doi.org/10.1111/1749-4877.12711",2023,"Contrasting recovery of metagenome‑assembled genomes and derived bacterial communities and functional profiles from lizard fecal and cloacal samples",2025,"https://doi.org/10.1186/s42523-025-00381-4","B (coautor, no autor evaluado)"
"Comparative analysis of two nonlethal methods for the study of the gut bacterial communities in wild lizards","https://doi.org/10.1111/1749-4877.12711",2023,"Diversity of the aerobic cloacal microbiota of syntopic lizard species (Reptilia: Sauria) from a low-mountain area in Western Bulgaria",2024,"https://doi.org/10.37828/em.2024.75.11","A y B (independiente)"
"Comparative analysis of two nonlethal methods for the study of the gut bacterial communities in wild lizards","https://doi.org/10.1111/1749-4877.12711",2023,"Composition and stability of the gut microbiome are associated with thermal tolerance and its plasticity in Anolis lizards",2026,"https://doi.org/10.1242/jeb.251650","A y B (independiente)"
"Comparative analysis of two nonlethal methods for the study of the gut bacterial communities in wild lizards","https://doi.org/10.1111/1749-4877.12711",2023,"Contrasting recovery of metagenome‑assembled genomes and derived microbial communities from lizard fecal and cloacal samples",2024,"https://doi.org/10.21203/rs.3.rs-5287039/v1","B (coautor, no autor evaluado)"
"Comparative analysis of two nonlethal methods for the study of the gut bacterial communities in wild lizards","https://doi.org/10.1111/1749-4877.12711",2023,"Post-brumation yeast mycobiota in Vipera berus (European adder): clinically relevant Candida parapsilosis oral dominance and diverse fecal communities compared with warmer-region snakes",2026,"https://doi.org/10.1007/s11259-026-11233-0","A y B (independiente)"
"Comparative analysis of two nonlethal methods for the study of the gut bacterial communities in wild lizards","https://doi.org/10.1111/1749-4877.12711",2023,"The lizard microbiome: patterns, drivers, and functional implications",2026,"https://doi.org/10.1093/femsle/fnag049","A y B (independiente)"
"Comparative analysis of two nonlethal methods for the study of the gut bacterial communities in wild lizards","https://doi.org/10.1111/1749-4877.12711",2023,"The microbiome in reptile health, disease, and ecology",2026,"https://doi.org/10.1128/mmbr.00128-25","A y B (independiente)"
"Maternal transmission of bacterial microbiota during embryonic development in a viviparous lizard","https://doi.org/10.1128/spectrum.01780-23",2023,"Bacterial dynamics and biotic sources in the developing swimming crab embryos",2024,"https://doi.org/10.1016/j.aquaculture.2024.741523","A y B (independiente)"
"Maternal transmission of bacterial microbiota during embryonic development in a viviparous lizard","https://doi.org/10.1128/spectrum.01780-23",2023,"Effects of ex situ conservation on commensal bacteria of crocodile lizard and conservation implications",2025,"https://doi.org/10.1080/01652176.2025.2463704","A y B (independiente)"
"Maternal transmission of bacterial microbiota during embryonic development in a viviparous lizard","https://doi.org/10.1128/spectrum.01780-23",2023,"The lizard microbiome: patterns, drivers, and functional implications",2026,"https://doi.org/10.1093/femsle/fnag049","A y B (independiente)"
"Maternal transmission of bacterial microbiota during embryonic development in a viviparous lizard","https://doi.org/10.1128/spectrum.01780-23",2023,"The microbiome in reptile health, disease, and ecology",2026,"https://doi.org/10.1128/mmbr.00128-25","A y B (independiente)"
"Maternal transmission of bacterial microbiota during embryonic development in a viviparous lizard","https://doi.org/10.1128/spectrum.01780-23",2023,"Residual yolk depletion matches the establishment of functional oral-intestinal microbiota in hatchling Siamese crocodiles",2026,"https://doi.org/10.1016/j.isci.2026.117047","A y B (independiente)"
"Is Habitat More Important than Phylogenetic Relatedness for Elucidating the Gut Bacterial Composition in Sister Lizard Species?","https://doi.org/10.1264/jsme2.me21087",2022,"Seasonal dietary changes relate to gut microbiota composition depending on the host species but do not correlate with gut microbiota diversity in arthropod‐eating lizards",2024,"https://doi.org/10.1111/mec.17426","B (coautor, no autor evaluado)"
"Is Habitat More Important than Phylogenetic Relatedness for Elucidating the Gut Bacterial Composition in Sister Lizard Species?","https://doi.org/10.1264/jsme2.me21087",2022,"Livestock exposure, seasonal diet shifts, host individual and time correlate with wild African savannah elephant gut microbiome diversity",2026,"https://doi.org/10.1098/rsos.251569","A y B (independiente)"
"Is Habitat More Important than Phylogenetic Relatedness for Elucidating the Gut Bacterial Composition in Sister Lizard Species?","https://doi.org/10.1264/jsme2.me21087",2022,"The lizard microbiome: patterns, drivers, and functional implications",2026,"https://doi.org/10.1093/femsle/fnag049","A y B (independiente)"
"Is Habitat More Important than Phylogenetic Relatedness for Elucidating the Gut Bacterial Composition in Sister Lizard Species?","https://doi.org/10.1264/jsme2.me21087",2022,"Host and Environmental Drivers of Gut Microbiome Variation in Wild Anolis Lizards",2026,"https://doi.org/10.1111/mec.70358","A y B (independiente)"
"Virulence Factors and Molecular Identification of Candida Species Causing Candidemia in Honduras","https://doi.org/10.3390/jof11070470",2025,"Pigeon-Guano-Contaminated Environments in Blantyre, Southern Malawi, are Reservoirs of Medically Important Fungi",2026,"https://doi.org/10.64898/2026.05.26.26354139","A y B (independiente)"
"Virulence Factors and Molecular Identification of Candida Species Causing Candidemia in Honduras","https://doi.org/10.3390/jof11070470",2025,"Distribution, antifungal resistance and virulence factors of Candida species isolated from cervical and vaginal secretions",2026,"https://doi.org/10.1007/s00580-026-03809-8","A y B (independiente)"
"Virulence Factors and Molecular Identification of Candida Species Causing Candidemia in Honduras","https://doi.org/10.3390/jof11070470",2025,"The state of mycology in Honduras",2026,"https://doi.org/10.1016/j.funeco.2026.101533","A y B (independiente)"
"Virulence Factors and Molecular Identification of Candida Species Causing Candidemia in Honduras","https://doi.org/10.3390/jof11070470",2025,"Detection of Virulence Genes and ABC Genotypes in Candida Albicans Isolates from Candidemia Patients",2026,"https://doi.org/10.2478/am-2026-0008","A y B (independiente)"
"Metagenomic analysis of fungal assemblages at a regional scale in high-altitude temperate forest soils: alternative methods to determine diversity, composition and environmental drivers","https://doi.org/10.7717/peerj.18323",2025,"Community of ectomycorrhizae associated with Mexican pinyon pine (Pinus cembroides) in northeastern Mexico and its relationships with environmental variables",2025,"https://doi.org/10.1016/j.foreco.2025.123237","A y B (independiente)"
"Metagenomic analysis of fungal assemblages at a regional scale in high-altitude temperate forest soils: alternative methods to determine diversity, composition and environmental drivers","https://doi.org/10.7717/peerj.18323",2025,"Soil fungal communities under plantations of different Eucalyptus species in Ethiopia: Insights for evidence-based management",2025,"https://doi.org/10.1016/j.scitotenv.2025.179663","A y B (independiente)"
"Metagenomic analysis of fungal assemblages at a regional scale in high-altitude temperate forest soils: alternative methods to determine diversity, composition and environmental drivers","https://doi.org/10.7717/peerj.18323",2025,"Agaricus sinodeliciosus and Coprinus comatus Improve Soil Fertility and Microbial Community Structure",2025,"https://doi.org/10.3390/jof11120866","A y B (independiente)"
"Metagenomic analysis of fungal assemblages at a regional scale in high-altitude temperate forest soils: alternative methods to determine diversity, composition and environmental drivers","https://doi.org/10.7717/peerj.18323",2025,"Comparative fecal microbiome analysis of the endangered Volcano rabbit (Romerolagus diazi) reveals a microbial core in contrasting habitats of Central Mexico",2026,"https://doi.org/10.1371/journal.pone.0343260","A y B (independiente)"
"Metagenomic analysis of fungal assemblages at a regional scale in high-altitude temperate forest soils: alternative methods to determine diversity, composition and environmental drivers","https://doi.org/10.7717/peerj.18323",2025,"Mechanisms of Rhizosphere Microbial Regulation on Ecosystem Multifunctionality Driven by Altitudinal Gradients in Hylodesmum podocarpum",2025,"https://doi.org/10.3390/biology14091126","A y B (independiente)"
"Metagenomic analysis of fungal assemblages at a regional scale in high-altitude temperate forest soils: alternative methods to determine diversity, composition and environmental drivers","https://doi.org/10.7717/peerj.18323",2025,"Community of ectomycorrhizae associated with Mexican pinyon pine (Pinus cembroides) in northeastern Mexico and its relationships with environmental variables",2025,"https://doi.org/10.2139/ssrn.5417019","A y B (independiente)"
"Metagenomic analysis of fungal assemblages at a regional scale in high-altitude temperate forest soils: alternative methods to determine diversity, composition and environmental drivers","https://doi.org/10.7717/peerj.18323",2025,"Microbiome legacy influences necrosis formation in Diplodia sapinea-infected Scots pine shoots",2026,"https://doi.org/10.1186/s40793-026-00904-9","A y B (independiente)"
"Metagenomic analysis of fungal assemblages at a regional scale in high-altitude temperate forest soils: alternative methods to determine diversity, composition and environmental drivers","https://doi.org/10.7717/peerj.18323",2025,"Targeting priority conservation areas in the world’s sixth-largest megalopolis: A multitaxa functional approach",2026,"https://doi.org/10.1016/j.jnc.2026.127383","A y B (independiente)"
"Potential Antidiabetic Activity of Apis mellifera Propolis Extraction Obtained with Ultrasound","https://doi.org/10.3390/foods13020348",2024,"Propolis Stands out as a Multifaceted Natural Product: Meta-Analysis on Its Sources, Bioactivities, Applications, and Future Perspectives",2025,"https://doi.org/10.3390/life15050764","A y B (independiente)"
"Potential Antidiabetic Activity of Apis mellifera Propolis Extraction Obtained with Ultrasound","https://doi.org/10.3390/foods13020348",2024,"Phytomedicine approach for management of diabetes mellitus: an overview of scientifically confirmed medicinal plants with hypoglycaemic properties and their probable mechanism of action",2024,"https://doi.org/10.1007/s11101-024-09984-2","A y B (independiente)"
"Potential Antidiabetic Activity of Apis mellifera Propolis Extraction Obtained with Ultrasound","https://doi.org/10.3390/foods13020348",2024,"Mechanistic Insights into Propolis in Targeting Type 2 Diabetes Mellitus: A Systematic Review",2025,"https://doi.org/10.1055/a-2596-0010","A y B (independiente)"
"Potential Antidiabetic Activity of Apis mellifera Propolis Extraction Obtained with Ultrasound","https://doi.org/10.3390/foods13020348",2024,"LC–MS/MS Phenolic Profiling and Antioxidant, Antimicrobial, and Antidiabetic Activities of Caucasian Propolis",2026,"https://doi.org/10.1002/cbdv.202503377","A y B (independiente)"
"Potential Antidiabetic Activity of Apis mellifera Propolis Extraction Obtained with Ultrasound","https://doi.org/10.3390/foods13020348",2024,"Valorizing Brazilian Propolis Residue: Comprehensive Characterization for Sustainable Reutilization Strategies",2025,"https://doi.org/10.3390/plants14131989","A y B (independiente)"
"Potential Antidiabetic Activity of Apis mellifera Propolis Extraction Obtained with Ultrasound","https://doi.org/10.3390/foods13020348",2024,"Exploring Apis mellifera Propolis Extracts: Bioavailability, Protective Strategies, and Applications in Food Systems",2025,"https://doi.org/10.3390/app152011043","B (coautor, no autor evaluado)"
"Potential Antidiabetic Activity of Apis mellifera Propolis Extraction Obtained with Ultrasound","https://doi.org/10.3390/foods13020348",2024,"The Effect of Different Levels of Bee Propolis with and without Enzyme Treatment in a Wheat-Based Diet on Growth Performance, Carcass Characteristics, and Immune Response of Broiler Chickens",2025,"https://doi.org/10.61882/rap.2024.1478","A y B (independiente)"
"DNA metabarcoding reveals seasonal changes in diet composition across four arthropod‐eating lizard species (Phrynosomatidae: Sceloporus)","https://doi.org/10.1111/1749-4877.12755",2023,"Seasonal dietary changes relate to gut microbiota composition depending on the host species but do not correlate with gut microbiota diversity in arthropod‐eating lizards",2024,"https://doi.org/10.1111/mec.17426","B (coautor, no autor evaluado)"
"DNA metabarcoding reveals seasonal changes in diet composition across four arthropod‐eating lizard species (Phrynosomatidae: Sceloporus)","https://doi.org/10.1111/1749-4877.12755",2023,"Environmental and anthropogenic factors mediating the functional connectivity of the mesquite lizard along the eastern Trans‐Mexican Volcanic Belt",2024,"https://doi.org/10.1111/mec.17469","B (coautor, no autor evaluado)"
"DNA metabarcoding reveals seasonal changes in diet composition across four arthropod‐eating lizard species (Phrynosomatidae: Sceloporus)","https://doi.org/10.1111/1749-4877.12755",2023,"Species Diversity and Distribution of Amphibians in Tangjiahe National Nature Reserve, China",2025,"https://doi.org/10.3390/biology14060614","A y B (independiente)"
"DNA metabarcoding reveals seasonal changes in diet composition across four arthropod‐eating lizard species (Phrynosomatidae: Sceloporus)","https://doi.org/10.1111/1749-4877.12755",2023,"Competition and Environmental Stress Impacts on Trophic Performance of Three Sympatric Insectivorous Lizard Species in Eastern Spain",2025,"https://doi.org/10.3390/sci7040146","A y B (independiente)"
"DNA metabarcoding reveals seasonal changes in diet composition across four arthropod‐eating lizard species (Phrynosomatidae: Sceloporus)","https://doi.org/10.1111/1749-4877.12755",2023,"Stage-dependent diet drives gut microbiome variations in the Chinese crocodile lizard (Shinisaurus crocodilurus)",2026,"https://doi.org/10.1016/j.gecco.2026.e04200","A y B (independiente)"
"DNA metabarcoding reveals seasonal changes in diet composition across four arthropod‐eating lizard species (Phrynosomatidae: Sceloporus)","https://doi.org/10.1111/1749-4877.12755",2023,"Ecology and natural history of the mountain dragon lizard ( Diploderma batangense ), a protected species endemic to southwestern China",2026,"https://doi.org/10.1080/00222933.2026.2674013","A y B (independiente)"
"Composition, antioxidant activity and rheological characteristics of spreadable pastes with blackberry pulp (Rubus fruticosus)","https://doi.org/10.1007/s11694-022-01279-4",2022,"Review of the Report on the Nutritional and Health-Promoting Values of Species of the Rubus L. Genus",2024,"https://doi.org/10.3390/agriculture14081324","A y B (independiente)"
"Composition, antioxidant activity and rheological characteristics of spreadable pastes with blackberry pulp (Rubus fruticosus)","https://doi.org/10.1007/s11694-022-01279-4",2022,"Bacuri (Platonia insignis Mart.): Nutritional values, volatile compounds, rheological properties, health benefits, and potential products",2023,"https://doi.org/10.1016/j.foodchem.2023.137528","A y B (independiente)"
"Composition, antioxidant activity and rheological characteristics of spreadable pastes with blackberry pulp (Rubus fruticosus)","https://doi.org/10.1007/s11694-022-01279-4",2022,"Functional and probiotic properties of freeze‐dried fermented milk with Lactobacillus sp. H7 , Bifidobacterium lactis Bb‐12 and blackberry bioactives",2026,"https://doi.org/10.1002/jsfa.70655","A y B (independiente)"
"Composition, antioxidant activity and rheological characteristics of spreadable pastes with blackberry pulp (Rubus fruticosus)","https://doi.org/10.1007/s11694-022-01279-4",2022,"Probiotic fermented goat milk incorporated with blackberry ( Rubus sp.): A novel functional food product",2026,"https://doi.org/10.1002/jsfa.70708","A y B (independiente)"
"Biodiversity between volcanoes: A multi-taxa analysis to identify priority conservation areas in a highly fragmented landscape of the Trans-Mexican Volcanic Belt","https://doi.org/10.1016/j.jnc.2025.126852",2025,"Climate-Driven Distribution of Edible Fungi in Central Mexico: Implications for Forest Sustainability",2026,"https://doi.org/10.3390/su18073571","A y B (independiente)"
"Biodiversity between volcanoes: A multi-taxa analysis to identify priority conservation areas in a highly fragmented landscape of the Trans-Mexican Volcanic Belt","https://doi.org/10.1016/j.jnc.2025.126852",2025,"Mapping Risk Zones: niche overlap between Batrachochytrium dendrobatidis and endemic amphibians in Mexico’s Central-Southern Highlands",2026,"https://doi.org/10.3897/natureconservation.63.163964","A y B (independiente)"
"Biodiversity between volcanoes: A multi-taxa analysis to identify priority conservation areas in a highly fragmented landscape of the Trans-Mexican Volcanic Belt","https://doi.org/10.1016/j.jnc.2025.126852",2025,"Targeting priority conservation areas in the world’s sixth-largest megalopolis: A multitaxa functional approach",2026,"https://doi.org/10.1016/j.jnc.2026.127383","B (coautor, no autor evaluado)"
"Shifts in root-associated fungal communities under drought conditions in Ricinus communis","https://doi.org/10.1016/j.funeco.2023.101225",2023,"Role of Microbes in Alleviating Crop Drought Stress: A Review",2024,"https://doi.org/10.3390/plants13030384","A y B (independiente)"
"Shifts in root-associated fungal communities under drought conditions in Ricinus communis","https://doi.org/10.1016/j.funeco.2023.101225",2023,"The combined effects of soil moisture and salinity on the spatial differences of soil humification intensity in the Yangtze River estuarine wetlands",2025,"https://doi.org/10.1007/s11368-025-04019-5","A y B (independiente)"
